id,交易筆棟數,建物現況格局-房,鄉鎮市區,電梯,建物型態,主要用途,總樓層數,主建物面積,有無管理組織
461,2,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,77.8,有
462,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,66.68,有
463,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.71,有
464,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.71,有
465,0,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,45.4,有
466,2,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,58.92,有
467,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,58.92,有
468,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.71,有
469,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,58.92,有
470,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,66.77,有
471,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,58.92,有
472,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,58.92,有
473,0,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,45.4,有
474,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,45.4,有
475,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,77.79,有
476,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,58.92,有
477,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,66.92,有
478,2,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,76.29,有
479,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,58.98,有
480,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,58.87,有
481,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,66.77,有
482,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,66.55,有
483,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,77.81,有
484,1,4,中山區,有,住宅大樓(11層含以上有電梯),住家用,14,77.81,有
485,1,3,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,58.98,有
486,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,45.4,有
487,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.71,有
488,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,45.4,有
489,1,2,中山區,有,住宅大樓(11層含以上有電梯),住家用,15,47.02,有
490,0,4,中正區,無,公寓(5樓含以下無電梯),住家用,5,106.08,無
491,0,3,中正區,有,住宅大樓(11層含以上有電梯),住家用,15,86.99,有
492,1,4,信義區,有,透天厝,住家用,4,268.71,有
493,0,2,七堵區,有,華廈(10層含以下有電梯),住家用,10,71.07,有
494,0,5,中山區,無,公寓(5樓含以下無電梯),住商用,5,155.59,無
495,0,2,七堵區,無,公寓(5樓含以下無電梯),住家用,4,63,無
496,0,4,中正區,無,透天厝,住家用,3,50.4,無
497,0,3,中山區,無,公寓(5樓含以下無電梯),住家用,2,77.33,無
498,0,3,中正區,有,住宅大樓(11層含以上有電梯),住家用,16,117.42,有
499,0,2,中山區,無,透天厝,住家用,2,42.36,無
500,1,0,信義區,有,住宅大樓(11層含以上有電梯),住家用,16,26.8,有
501,0,3,暖暖區,無,公寓(5樓含以下無電梯),住家用,2,71.71,無
502,0,3,七堵區,無,透天厝,住家用,3,289.7,有
503,0,3,中正區,無,公寓(5樓含以下無電梯),住家用,5,79.84,無
504,0,3,暖暖區,無,透天厝,住家用,2,123.16,無
505,0,3,中正區,無,公寓(5樓含以下無電梯),住家用,5,74.52,無
506,0,4,暖暖區,無,公寓(5樓含以下無電梯),住家用,4,109.22,無
507,0,3,仁愛區,無,公寓(5樓含以下無電梯),住家用,4,79.64,無
508,0,3,安樂區,有,華廈(10層含以下有電梯),住家用,7,106.51,有
509,0,3,仁愛區,無,公寓(5樓含以下無電梯),住家用,5,125.97,無
510,0,1,七堵區,有,住宅大樓(11層含以上有電梯),住家用,12,33.48,有
511,0,3,安樂區,無,公寓(5樓含以下無電梯),住家用,5,70.65,無
512,0,3,中正區,無,公寓(5樓含以下無電梯),住家用,5,74.06,無
513,0,1,中正區,有,華廈(10層含以下有電梯),住家用,9,33.86,有
514,0,2,安樂區,有,華廈(10層含以下有電梯),住家用,7,53.23,有
515,1,3,安樂區,有,華廈(10層含以下有電梯),住家用,7,85.48,有
516,0,3,安樂區,無,公寓(5樓含以下無電梯),住家用,5,66.85,無
517,0,3,安樂區,無,公寓(5樓含以下無電梯),住家用,4,82.4,無
518,0,2,安樂區,有,住宅大樓(11層含以上有電梯),住家用,18,36.86,有
519,0,3,仁愛區,無,公寓(5樓含以下無電梯),住家用,5,103.65,無
520,0,1,中山區,無,透天厝,住家用,1,26.45,無
521,0,0,信義區,無,公寓(5樓含以下無電梯),住家用,4,56,無
522,1,0,安樂區,有,華廈(10層含以下有電梯),商辦用,9,127.73,有
523,0,2,暖暖區,無,公寓(5樓含以下無電梯),住家用,2,67.23,無
524,0,2,暖暖區,無,公寓(5樓含以下無電梯),住家用,5,74.74,無
525,0,3,七堵區,無,公寓(5樓含以下無電梯),住家用,5,79.8,無
526,0,3,暖暖區,有,華廈(10層含以下有電梯),住家用,6,61.09,有
527,0,6,安樂區,無,透天厝,住家用,2,126.76,無
528,0,1,中正區,無,公寓(5樓含以下無電梯),住家用,5,48.93,無
529,0,1,信義區,有,華廈(10層含以下有電梯),住家用,10,22.86,有
530,0,1,暖暖區,有,住宅大樓(11層含以上有電梯),住家用,11,25.95,有
531,0,3,暖暖區,無,公寓(5樓含以下無電梯),住家用,5,95.71,無
532,0,3,中正區,有,住宅大樓(11層含以上有電梯),住家用,12,53.38,有
533,0,3,中山區,無,公寓(5樓含以下無電梯),住家用,5,69.78,無
534,1,2,暖暖區,有,華廈(10層含以下有電梯),住家用,5,126.15,無
535,1,4,中正區,有,住宅大樓(11層含以上有電梯),住家用,21,112.92,有
536,0,3,信義區,無,公寓(5樓含以下無電梯),住家用,2,79.92,無
537,1,3,暖暖區,有,住宅大樓(11層含以上有電梯),住家用,12,84.33,有
538,1,3,中山區,無,公寓(5樓含以下無電梯),住商用,5,46.17,無
539,1,0,信義區,有,華廈(10層含以下有電梯),辦公用,6,90.98,有
540,0,3,安樂區,無,公寓(5樓含以下無電梯),住家用,5,73.09,無
541,0,3,安樂區,無,公寓(5樓含以下無電梯),住家用,5,72.41,無
542,1,1,暖暖區,有,住宅大樓(11層含以上有電梯),住家用,11,27.17,有
